player,mat,overs,M,runs,wicket,econ,_0s,_4s,_6s,wide,no_ball
44932,1144487,1.0,0,10,0,10.0,2,2,0,0,0
40618,1144490,10.0,0,58,0,5.8,20,4,0,0,0
550215,1144490,10.0,1,39,2,3.9,40,4,1,1,0
439952,1144490,10.0,3,36,1,3.6,43,5,0,1,0
540316,1144490,8.3,0,40,1,4.7,30,5,0,1,0
379145,1144490,9.0,0,54,0,6.0,25,4,1,1,0
550215,1144503,8.0,1,36,1,4.5,32,5,0,2,0
379927,1144503,5.0,1,25,0,5.0,21,5,0,1,0
540316,1144503,8.0,1,18,2,2.25,36,1,0,0,0
439952,1144503,6.1,2,13,3,2.1,30,1,0,0,0
40618,1144503,7.0,0,29,4,4.14,24,3,0,0,0
550215,1144507,10.0,0,42,1,4.2,39,3,1,1,0
542023,1144507,10.0,1,47,1,4.7,35,6,0,2,0
439952,1144507,10.0,0,49,3,4.9,34,6,0,0,0
540316,1144507,8.3,0,73,1,8.58,17,7,2,3,1
40618,1144507,10.0,0,33,0,3.3,34,2,0,0,0
550215,1144512,10.0,0,65,0,6.5,30,8,1,1,0
542023,1144512,9.0,0,64,3,7.11,26,7,2,0,0
439952,1144512,9.0,0,61,0,6.77,24,9,0,0,0
540316,1144512,8.0,0,49,1,6.12,24,4,1,2,1
40618,1144512,10.0,0,41,2,4.1,33,2,1,1,0
600498,1144512,4.0,0,22,1,5.5,10,1,0,1,0
550215,1144517,10.0,2,36,2,3.6,40,3,0,2,0
439952,1144517,9.3,0,46,3,4.84,36,4,1,3,0
327830,1144517,10.0,2,25,3,2.5,46,3,0,1,0
540316,1144517,8.0,0,38,1,4.75,24,3,0,2,0
40618,1144517,10.0,0,36,0,3.6,34,2,0,0,0
44932,1144517,2.0,0,15,1,7.5,7,1,0,1,0
40618,1144527,9.0,0,59,1,6.55,23,7,1,0,0
550215,1144527,10.0,0,56,3,5.6,33,6,1,0,0
327830,1144527,6.0,2,27,2,4.5,26,5,0,1,0
439952,1144527,9.0,0,63,1,7.0,24,7,2,0,0
379145,1144527,9.0,0,62,0,6.88,20,7,0,1,0
